,stamp,price,sentiment
573,2016-02-11,379.2,0.3064875485393007
427,2016-02-12,389.0,0.26014177070001776
212,2016-02-13,397.7,0.3049016680405475
113,2016-02-14,406.8,0.30863521159297325
590,2016-02-15,400.9,0.3212682953381485
321,2016-02-16,411.9,0.3212682953381485
352,2016-02-17,418.4,0.3212682953381485
200,2016-02-18,417.7,0.21771782491281808
35,2016-02-19,425.9,0.21771782491281808
532,2016-02-20,439.2,0.2910002071019829
59,2016-02-21,438.8,0.2910002071019829
217,2016-02-22,434.5,0.2910002071019829
52,2016-02-23,421.4,0.2835236239049316
78,2016-02-24,424.0,0.2835236239049316
591,2016-02-25,423.9,0.456150843448238
168,2016-02-26,426.6,0.456150843448238
0,2016-02-27,427.1,0.456150843448238
495,2016-02-28,434.6,0.456150843448238
334,2016-02-29,433.3,0.34289601025196725
72,2016-03-01,432.8,0.34289601025196725
216,2016-03-02,415.4,0.34289601025196725
388,2016-03-03,421.7,0.30604978887883344
567,2016-03-04,397.5,0.30604978887883344
90,2016-03-05,399.1,0.30604978887883344
234,2016-03-06,404.8,0.2776357762693973
537,2016-03-07,414.0,0.2776357762693973
511,2016-03-08,409.9,0.470822254763685
34,2016-03-09,411.5,0.470822254763685
185,2016-03-10,418.8,0.470822254763685
155,2016-03-11,416.4,0.1675868356079048
531,2016-03-12,413.5,0.1675868356079048
317,2016-03-13,414.8,0.1675868356079048
199,2016-03-14,414.8,0.2940941216704473
371,2016-03-15,414.2,0.2940941216704473
492,2016-03-16,417.8,0.2940941216704473
139,2016-03-17,415.6,0.2940941216704473
288,2016-03-18,409.5,0.2632188453422218
145,2016-03-19,410.6,0.2632188453422218
633,2016-03-20,408.9,0.2632188453422218
305,2016-03-21,415.9,0.29806920588018937
307,2016-03-22,417.3,0.29806920588018937
469,2016-03-23,415.9,0.29806920588018937
583,2016-03-24,413.8,0.2509085301823485
442,2016-03-25,416.1,0.2509085301823485
19,2016-03-26,416.9,0.2509085301823485
418,2016-03-27,423.5,0.2509085301823485
601,2016-03-28,423.5,0.36029458182896135
122,2016-03-29,413.0,0.36029458182896135
271,2016-03-30,414.0,0.35660893969401114
437,2016-03-31,415.4,0.4469112453998253
486,2016-04-01,419.0,0.3776666102163249
296,2016-04-02,419.3,0.3776666102163249
157,2016-04-03,419.9,0.24866301703706295
542,2016-04-04,422.4,0.24866301703706295
504,2016-04-05,422.0,0.24866301703706295
552,2016-04-06,421.8,0.24866301703706295
176,2016-04-07,422.1,0.24866301703706295
362,2016-04-08,417.6,0.5185095039224366
452,2016-04-09,420.8,0.5185095039224366
164,2016-04-10,421.8,0.5185095039224366
121,2016-04-11,429.4,0.2841373789652287
520,2016-04-12,428.7,0.2841373789652287
468,2016-04-13,425.3,0.2841373789652287
269,2016-04-14,426.1,0.2841373789652287
138,2016-04-15,433.2,0.2841373789652287
479,2016-04-16,433.9,0.3760449666982592
560,2016-04-17,433.3,0.3760449666982592
408,2016-04-18,431.8,0.3760449666982592
81,2016-04-19,437.7,0.4019893026176416
494,2016-04-20,440.0,0.3994326824948252
575,2016-04-21,446.9,0.3382305778488733
428,2016-04-22,447.6,0.3382305778488733
243,2016-04-23,458.4,0.3382305778488733
268,2016-04-24,464.9,0.2759681624094801
524,2016-04-25,468.5,0.2759681624094801
213,2016-04-26,470.1,0.2759681624094801
509,2016-04-27,443.3,0.2759681624094801
64,2016-04-28,450.3,0.2759681624094801
543,2016-04-29,455.1,0.2759681624094801
324,2016-04-30,454.3,0.30442258076342743
478,2016-05-01,456.9,0.30442258076342743
96,2016-05-02,447.0,0.30442258076342743
444,2016-05-03,449.0,0.2561029997281787
581,2016-05-04,448.5,0.29144092102925595
285,2016-05-05,449.0,0.29144092102925595
